date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:16:46	44888/44888	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2005:16:45%20GMT	https://michael-vieiras-dandy-project.webflow.io/	C:/Meus%20Sites/teste/michael-vieiras-dandy-project.webflow.io/index.html	(from )
02:16:46	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2022%20Jun%202021%2005:16:45%20GMT	https://michael-vieiras-dandy-project.webflow.io/robots.txt		(from )
02:16:46	71830/71830	---M-Z	200	added ('OK')	text/css	etag:%228e592c4260397db248e490daaabcd54f%22	https://uploads-ssl.webflow.com/60d1713b9689152677abbbf5/css/michael-vieiras-dandy-project.webflow.fa2a72b97.css	C:/Meus%20Sites/teste/uploads-ssl.webflow.com/60d1713b9689152677abbbf5/css/michael-vieiras-dandy-project.webflow.fa2a72b97.css	(from https://michael-vieiras-dandy-project.webflow.io/)
02:17:04	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Meus%20Sites/teste/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://michael-vieiras-dandy-project.webflow.io/)
02:17:04	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/Meus%20Sites/teste/uploads-ssl.webflow.com/img/webclip.png	(from https://michael-vieiras-dandy-project.webflow.io/)
02:17:05	1159/1159	---M--	200	added ('OK')	text/css	etag:%22487-5bd9272651ab8%22	https://assets.vibranddesign.com/wf-components/highlightjs/styles/default.css	C:/Meus%20Sites/teste/assets.vibranddesign.com/wf-components/highlightjs/styles/default.css	(from https://michael-vieiras-dandy-project.webflow.io/)
02:17:05	293/293	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Jun%202021%2005:17:05%20GMT	https://assets.vibranddesign.com/wf-components/highlightjs/styles/dracula-vibrand.css	C:/Meus%20Sites/teste/assets.vibranddesign.com/wf-components/highlightjs/styles/dracula-vibrand.css	(from https://michael-vieiras-dandy-project.webflow.io/)
02:17:06	1016/1016	---M--	200	added ('OK')	text/css	etag:%223f8-5bd92962c2518%22	https://assets.vibranddesign.com/wf-components/highlightjs/styles/darcula-vibrand.css	C:/Meus%20Sites/teste/assets.vibranddesign.com/wf-components/highlightjs/styles/darcula-vibrand.css	(from https://michael-vieiras-dandy-project.webflow.io/)
02:17:07	397182/397182	---M--	200	added ('OK')	image/jpeg	etag:%221b24ab497d22a7d9017c70e398c17b0d%22	https://uploads-ssl.webflow.com/60d1713b9689152677abbbf5/60d1713b9689154f7fabbc0a_Slide-1.jpg	C:/Meus%20Sites/teste/uploads-ssl.webflow.com/60d1713b9689152677abbbf5/60d1713b9689154f7fabbc0a_Slide-1.jpg	(from https://michael-vieiras-dandy-project.webflow.io/)
02:17:07	1616638/1616638	---M--	200	added ('OK')	image/gif	etag:%22c5e643843e5690495ef048050dbc9a35%22	https://uploads-ssl.webflow.com/6047999733515e4a9e0e1cc3/604900abca9dde39cf8ec086_notyourbusiness.gif	C:/Meus%20Sites/teste/uploads-ssl.webflow.com/6047999733515e4a9e0e1cc3/604900abca9dde39cf8ec086_notyourbusiness.gif	(from https://michael-vieiras-dandy-project.webflow.io/)
02:17:07	132056/132056	---M--	200	added ('OK')	image/jpeg	etag:%22b200806f37fab446d0938f531a0642b4%22	https://uploads-ssl.webflow.com/60d1713b9689152677abbbf5/60d1713b9689156cb9abbc08_Slide-2.jpg	C:/Meus%20Sites/teste/uploads-ssl.webflow.com/60d1713b9689152677abbbf5/60d1713b9689156cb9abbc08_Slide-2.jpg	(from https://michael-vieiras-dandy-project.webflow.io/)
